Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2025-07-01,135.27,136.32,128.51,130.68,91479700.0,136.32,130.74,144.25,7.81,4.075,14.43,5.305,4.59,1.47,14.13,0.6,97305600.0,202598600.0,69440500.0,136.63,137.86,137.494,-0.04225358612324222,0
2025-07-02,131.47,133.6,130.19,132.12,59732000.0,130.68,136.32,130.74,3.41,7.81,4.075,14.43,-0.65,4.59,1.47,14.13,91479700.0,97305600.0,202598600.0,133.655,135.757,136.41,0.010959032879289688,1
2025-07-03,134.36,135.62,132.51,134.36,41812500.0,132.12,130.68,136.32,3.11,3.41,7.81,4.075,0.0,-0.65,4.59,1.47,59732000.0,91479700.0,97305600.0,132.887,134.692,135.728,0.016812205721568173,1
2025-07-07,134.38,139.29,132.32,139.12,71959700.0,134.36,132.12,130.68,6.97,3.11,3.41,7.81,-4.74,0.0,-0.65,4.59,41812500.0,59732000.0,91479700.0,133.624,134.595,135.51,0.03481406566142947,1
2025-07-08,138.775,139.855,135.79,139.71,59834800.0,139.12,134.36,132.12,4.065,6.97,3.11,3.41,-0.935,-4.74,0.0,-0.65,71959700.0,41812500.0,59732000.0,136.372,135.92,136.084,0.004232058769952889,1
2025-07-09,139.655,143.17,137.39,143.13,68494800.0,139.71,139.12,134.36,5.78,4.065,6.97,3.11,-3.475,-0.935,-4.74,0.0,59834800.0,71959700.0,41812500.0,138.041,137.03,136.661,0.024184448592520873,1
2025-07-10,143.31,145.16,139.53,142.5,64383900.0,143.13,139.71,139.12,5.63,5.78,4.065,6.97,0.81,-3.475,-0.935,-4.74,68494800.0,59834800.0,71959700.0,140.585,138.817,137.69,-0.004411342601948249,0
2025-07-11,142.11,144.58,141.47,142.1,52134800.0,142.5,143.13,139.71,3.11,5.63,5.78,4.065,0.01,0.81,-3.475,-0.935,64383900.0,68494800.0,59834800.0,141.543,139.896,138.456,-0.0028109216533948613,0
2025-07-14,142.72,149.575,142.22,149.15,81774400.0,142.1,142.5,143.13,7.355,3.11,5.63,5.78,-6.43,0.01,0.81,-3.475,52134800.0,64383900.0,68494800.0,141.821,140.541,139.035,0.04842139198345078,1
2025-07-15,148.93,150.62,147.36,148.58,59126200.0,149.15,142.1,142.5,3.26,7.355,3.11,5.63,0.35,-6.43,0.01,0.81,81774400.0,52134800.0,64383900.0,145.486,143.063,140.645,-0.0038289239914055264,0
